Year (year),Month (month),State Name (state_name),State Code (state_code),Assembly No (assembly_no),Assembly Constituency Name (ac_name),Assmebly Constituency Type (ac_type),Candidate Name (candidate_name),Sex (sex),Age (age),Candidate Type (candidate_type),Party (party),Position (position),Assembly Constituency Candidates (ac_total_candidates),Total Electors in Constituency (total_electors),Total Votes Obtained (total_votes),Total Valid Votes (total_valid_votes),Vote Share Percentage (vote_share_percentage),Margin (margin),Margin Percentage (margin_percentage),Turn out Percentage (turnout_percentage),Poll No (poll_no),Delimit Id (delimit_id)
"2009","10","Maharashtra","27","11.0","Hatkanangle","SC","Malage Mangalrao Jinnappa","MALE","55.0","SC","BSP","6.0","6.0","276770.0","5057.0","195076.0","2.59","0.0","0.0","70.48","0.0","4.0"
"2017","12","Gujarat","24","13.0","Somnath","GEN","Chauhan Rafik Husen","MALE","47.0","GEN","IND","12.0","14.0","234979.0","126.0","178377.0","0.07","16.0","0.01","75.91","0.0","4.0"
"2013","12","Madhya Pradesh","23","14.0","Amarpatan","GEN","Jansewak Mohammad Khalil Khan","MALE","40.0","GEN","IND","7.0","12.0","206121.0","1147.0","148589.0","0.77","30.0","0.02","72.09","0.0","4.0"
"2014","12","Jammu And Kashmir","01","10.0","Handwara","GEN","Ajaz Ahmad Sofi","MALE","44.0","GEN","IND","8.0","12.0","89983.0","397.0","67974.0","0.58","7.0","0.01","75.54","0.0","4.0"
"2010","11","Bihar","10","15.0","Garkha","SC","Bhola Ram","MALE","53.0","SC","JPS","9.0","9.0","212209.0","650.0","103630.0","0.63","0.0","0.0","48.83","0.0","4.0"
"2016","5","Tamil Nadu","33","11.0","Tiruvadanai","GEN","Karunaas","MALE","46.0","GEN","AIADMK","1.0","21.0","273644.0","76786.0","186649.0","41.14","8696.0","4.66","68.21","0.0","4.0"
"2018","12","Rajasthan","08","15.0","Shahpura","GEN","Nota","None","","GEN","NOTA","4.0","9.0","208306.0","1432.0","174001.0","0.82","457.0","0.26","83.53","0.0","4.0"
"2012","3","Uttarakhand","05","3.0","Pirankaliyar","GEN","Mohd Iqbal","MALE","48.0","GEN","SP","7.0","16.0","91933.0","192.0","73813.0","0.26","28.0","0.04","80.29","0.0","4.0"
"2012","12","Himachal Pradesh","02","12.0","Nagrota","GEN","Arun Kumar","MALE","48.0","GEN","IND","2.0","8.0","74574.0","20883.0","55257.0","37.79","12090.0","21.88","74.1","0.0","4.0"
"2018","12","Andhra Pradesh","28","2.0","Koratla","GEN","Puppala Limbadri","MALE","","GEN","BSP","6.0","12.0","216038.0","939.0","163866.0","0.57","47.0","0.03","75.85","0.0","4.0"
"2014","5","Andhra Pradesh","28","14.0","Ponnur","GEN","Chavali Edukondalu Yadav","MALE","51.0","GEN","IND","9.0","13.0","208168.0","230.0","176251.0","0.13","20.0","0.01","84.67","0.0","4.0"
"2009","12","Jammu And Kashmir","01","9.0","Bhaderwah","GEN","Sheikh Mujib Ali","None","","GEN","JKNPP","3.0","8.0","93183.0","7146.0","53200.0","13.43","4750.0","8.93","57.09","1.0","4.0"
"2020","11","Bihar","10","17.0","Manjhi","GEN","Dr Satyendra Yadav","MALE","43.0","GEN","CPIM","1.0","17.0","302479.0","59324.0","157930.0","37.56","25386.0","16.07","52.21","0.0","4.0"
"2011","5","Kerala","32","14.0","Kovalam","GEN","Adv George Mercier","MALE","58.0","GEN","INC","2.0","7.0","183616.0","52305.0","125008.0","41.84","43178.0","34.54","68.08","0.0","4.0"
"2012","3","Goa","30","6.0","Siroda","GEN","Vishwas Prabhudesai","MALE","41.0","GEN","IND","3.0","5.0","26030.0","422.0","22984.0","1.84","192.0","0.84","88.3","0.0","4.0"
"2010","11","Bihar","10","15.0","Barbigha","GEN","Ashok Choudhary","MALE","43.0","GEN","INC","2.0","11.0","185487.0","21089.0","92414.0","22.82","940.0","1.02","49.82","0.0","4.0"
"2009","12","Jharkhand","20","2.0","Jamshedpur East","GEN","Abhay Singh","MALE","39.0","GEN","JVM","2.0","15.0","247387.0","33202.0","111679.0","29.73","22258.0","19.93","45.14","0.0","4.0"
"2011","2","West Bengal","19","15.0","Raiganj","GEN","Mohit Sengupta","MALE","60.0","GEN","INC","1.0","7.0","149614.0","62864.0","126506.0","49.69","5409.0","4.28","84.55","0.0","4.0"
"2014","12","Jharkhand","20","3.0","Khunti","ST","Marshal Barla","MALE","40.0","ST","BSP","12.0","12.0","190333.0","1031.0","119825.0","0.86","108.0","0.09","62.96","0.0","4.0"
"2021","5","Puducherry","34","14.0","Lawspet","GEN","C Pandian","MALE","49.0","GEN","IND","9.0","11.0","33225.0","60.0","26245.0","0.23","27.0","0.1","78.99","0.0","4.0"
"2011","5","Tamil Nadu","33","10.0","Velachery","GEN","C M Vijayakumar","MALE","46.0","GEN","PB","9.0","14.0","227249.0","435.0","152364.0","0.29","100.0","0.07","67.05","0.0","4.0"
"2013","12","Mizoram","15","11.0","Lawngtlai East","ST","Nota","None","","ST","NOTA","4.0","3.0","21253.0","86.0","16837.0","0.51","0.0","0.0","79.22","0.0","4.0"
"2015","11","Bihar","10","16.0","Biharsharif","GEN","Nota","None","","GEN","NOTA","4.0","13.0","348565.0","5191.0","178327.0","2.91","2932.0","1.64","51.16","0.0","4.0"
"2009","5","Odisha","21","14.0","Berhampur","GEN","Dr Ramesh Chandra Chyau Patnaik","MALE","65.0","GEN","BJD","1.0","9.0","170830.0","38407.0","82279.0","46.68","3844.0","4.67","48.16","0.0","4.0"
"2011","5","Tamil Nadu","33","10.0","Kancheepuram","GEN","S Magesh","MALE","33.0","GEN","IND","11.0","14.0","237837.0","352.0","192235.0","0.18","56.0","0.03","80.83","0.0","4.0"
"2013","12","Madhya Pradesh","23","14.0","Huzur","GEN","Rajendra Mandloi","MALE","36.0","GEN","INC","2.0","8.0","255309.0","49390.0","166443.0","29.67","46693.0","28.05","65.19","0.0","4.0"
"2020","11","Bihar","10","17.0","Barhampur","GEN","Shambhu Nath Yadav","MALE","56.0","GEN","RJD","1.0","15.0","340864.0","90176.0","185396.0","48.64","51141.0","27.58","54.39","0.0","4.0"
"2012","3","Manipur","14","11.0","Wabgai","GEN","Khomdram Tamphajao","MALE","62.0","GEN","BJP","4.0","4.0","24837.0","125.0","22904.0","0.55","0.0","0.0","92.22","0.0","4.0"
"2019","4","Andhra Pradesh","28","15.0","Tadpatri","GEN","Mamilla. Narayana Swamy.","MALE","49.0","GEN","IND","10.0","11.0","234924.0","229.0","187874.0","0.12","67.0","0.04","79.97","0.0","4.0"
"2018","12","Madhya Pradesh","23","15.0","Rajnagar","GEN","Muhammad Sattar","MALE","","GEN","IND","8.0","13.0","216952.0","1140.0","143862.0","0.79","115.0","0.08","66.31","0.0","4.0"
"2017","3","Uttar Pradesh","09","17.0","Agra Cantonment","SC","Nota","None","","SC","NOTA","5.0","14.0","427523.0","1185.0","252816.0","0.47","40.0","0.02","59.14","0.0","4.0"
"2019","4","Andhra Pradesh","28","15.0","Guntur West","GEN","Venigalla Pushpalatha","FEMALE","61.0","GEN","CPIM","17.0","35.0","265258.0","106.0","174645.0","0.06","6.0","0.0","65.84","0.0","4.0"
"2009","10","Maharashtra","27","11.0","Shahada","ST","Savitri Magan Padvi","FEMALE","30.0","ST","RWS","12.0","14.0","257248.0","755.0","144652.0","0.52","47.0","0.03","56.23","0.0","4.0"
"2014","10","Maharashtra","27","12.0","Sillod","GEN","Kale Dipali Madhukar","FEMALE","27.0","GEN","MNS","4.0","16.0","278474.0","3465.0","209881.0","1.65","344.0","0.16","75.37","0.0","4.0"
"2019","4","Andhra Pradesh","28","15.0","Kurnool","GEN","Venkata Subba Reddy. B","MALE","50.0","GEN","BJP","5.0","29.0","258876.0","1954.0","152659.0","1.28","1254.0","0.82","58.97","0.0","4.0"
"2012","12","Gujarat","24","12.0","Surat North","GEN","Nagori Sidik Dawoodbhai","MALE","52.0","GEN","IND","13.0","16.0","152013.0","124.0","103329.0","0.12","29.0","0.03","67.97","0.0","4.0"
"2020","11","Bihar","10","17.0","Munger","GEN","Awadhesh Kumar Yadav","MALE","60.0","GEN","IND","13.0","16.0","339048.0","285.0","165216.0","0.17","26.0","0.02","48.73","0.0","4.0"
"2017","12","Gujarat","24","13.0","Asarwa","SC","Vaghela Kanubhai Atmaram","MALE","57.0","SC","INC","2.0","9.0","202480.0","37974.0","132571.0","28.64","35184.0","26.54","65.47","0.0","4.0"
"2017","12","Gujarat","24","13.0","Mehemdabad","GEN","Gautambhai Ravjibhai Chauhan","MALE","54.0","GEN","INC","2.0","4.0","226423.0","67993.0","171443.0","39.66","58180.0","33.94","75.72","0.0","4.0"
